epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,9183.66,0.4674,0.6785,0.36338,0.8483,0.84746,0.87851,0.507,0.25952,0.55589,0.22327,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9344.74,0.46594,0.67913,0.36029,0.85083,0.82309,0.86193,0.50401,0.2496,0.64283,0.20514,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9506.07,0.46391,0.68308,0.3645,0.87364,0.81297,0.86539,0.51751,0.24856,0.68571,0.20523,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9668.54,0.47197,0.66625,0.36472,0.87938,0.83051,0.87791,0.51479,0.25038,0.70482,0.20523,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9832.04,0.46061,0.68119,0.35798,0.88348,0.82097,0.86811,0.51717,0.24839,0.61575,0.20125,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9993.72,0.46424,0.66809,0.35511,0.88127,0.82627,0.87264,0.52292,0.24119,0.64169,0.20013,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10156.2,0.45525,0.66599,0.36032,0.86786,0.82627,0.85984,0.51907,0.2451,0.65521,0.19953,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10317.6,0.45143,0.66821,0.35653,0.87821,0.84025,0.87023,0.52725,0.24647,0.60664,0.1994,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10479.4,0.45057,0.66969,0.35428,0.87737,0.82839,0.86714,0.53207,0.24064,0.62512,0.19719,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10642.9,0.44312,0.66769,0.35063,0.88876,0.84004,0.88036,0.51981,0.25277,0.56358,0.20184,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10805,0.44412,0.65764,0.34571,0.88687,0.8411,0.88099,0.5188,0.25076,0.55171,0.20137,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10966.5,0.44422,0.65871,0.35594,0.89167,0.83703,0.88267,0.52315,0.24989,0.63519,0.20353,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11128.2,0.43741,0.65919,0.35048,0.896,0.83965,0.88415,0.52699,0.24501,0.54424,0.20144,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11290.9,0.43481,0.65932,0.34806,0.87917,0.84785,0.87759,0.53372,0.23839,0.64979,0.1961,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11453.1,0.43599,0.65254,0.34707,0.89047,0.83475,0.87876,0.51747,0.25356,0.64075,0.21095,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11615.2,0.43126,0.65166,0.34173,0.88848,0.84216,0.88333,0.52995,0.24831,0.53975,0.21143,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11776.7,0.42765,0.65063,0.34024,0.90685,0.8353,0.88602,0.53697,0.24301,0.51657,0.19597,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11939.1,0.42971,0.64708,0.3434,0.88395,0.8411,0.87968,0.52974,0.24929,0.53628,0.20544,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12100.3,0.42789,0.63692,0.33642,0.90329,0.83263,0.88749,0.5386,0.24351,0.59329,0.20217,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12262.7,0.43043,0.64312,0.34335,0.89861,0.83898,0.88202,0.537,0.24717,0.59849,0.19915,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12424.8,0.41845,0.64446,0.33837,0.89778,0.84534,0.88312,0.53106,0.24871,0.54922,0.20398,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12587.1,0.4197,0.64501,0.34058,0.90574,0.83467,0.88355,0.54728,0.23637,0.57626,0.19103,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12750.5,0.41513,0.62902,0.33395,0.90947,0.83475,0.88847,0.55684,0.23604,0.51565,0.18678,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12911.7,0.41983,0.63112,0.33574,0.90246,0.83312,0.88256,0.55351,0.23587,0.52111,0.18641,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13073,0.41321,0.63061,0.33679,0.88027,0.84889,0.87556,0.54503,0.24087,0.53021,0.18884,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13235.3,0.41208,0.63277,0.33426,0.89502,0.85805,0.88094,0.54912,0.23855,0.53869,0.19291,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13397.4,0.41736,0.61954,0.32701,0.90952,0.8411,0.88638,0.54972,0.23817,0.49352,0.19492,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13558.3,0.40977,0.62381,0.32472,0.90393,0.83263,0.87866,0.54559,0.23801,0.53275,0.1952,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13719.9,0.40643,0.62351,0.32398,0.90416,0.83369,0.87694,0.54355,0.23942,0.54209,0.19694,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13882.4,0.40943,0.62047,0.33005,0.90099,0.83686,0.87943,0.54818,0.23408,0.51838,0.1908,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14044.6,0.40266,0.61652,0.32183,0.89752,0.83499,0.87929,0.54902,0.23784,0.52205,0.19476,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14205.5,0.40122,0.61151,0.32709,0.90933,0.82865,0.88627,0.55164,0.23562,0.52671,0.19528,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14367.3,0.40174,0.61262,0.31989,0.88798,0.84816,0.88436,0.54906,0.238,0.49715,0.19785,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14529,0.39679,0.61498,0.3146,0.89378,0.84428,0.88408,0.55,0.23828,0.49043,0.19908,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14690,0.39884,0.61433,0.32347,0.90618,0.83686,0.87909,0.54719,0.235,0.49049,0.19637,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
